,Unnamed: 0,bin_serial,Latitudine,Longitudine,counts,Cluster_labels,Silhouette
43,2729,4318008024,45.5177447217365,9.193722567631882,55,0,0.4695631010001982
44,951,1419015172,45.4778731887885,9.224438312494952,55,2,0.560871266804877
45,2326,4318007513,45.47423402159746,9.229737601253989,56,2,0.5985356017231032
46,2668,4318007957,45.51737773648836,9.193806584942195,56,0,0.476048815428384
47,1819,4118006575,45.510637700000004,9.191659800000002,57,0,0.48913767033439587
48,1608,3718006272,45.49140519813714,9.18392911759588,58,6,0.4213131254744363
49,2131,4118007106,45.49526007920897,9.183192105351507,59,6,0.1769176335992946
50,3113,5018010095,45.4802052,9.2266642,60,2,0.5222066376038471
51,1570,3718006221,45.49326454753949,9.216489955592124,60,8,0.2236784345001146
52,502,519011965,45.473186,9.217806,61,11,0.4252992895025396
53,271,219011722,45.47665872097296,9.214739652909088,62,11,0.07947468663995429
54,2746,4318008054,45.4919053,9.182331699999999,63,6,0.39798203881133537
55,3088,5018009824,45.508788451204786,9.255842341578727,64,12,0.4431480273473014
56,1069,3718005440,45.469329720818656,9.21705238862205,65,11,0.5324939947382338
57,3069,5018009703,45.479264351667176,9.229635769914921,65,2,0.568892357879394
58,839,1219014645,45.47477219503403,9.204654835016527,66,14,0.47013302268442325
59,267,219011718,45.47789883196583,9.210690846918737,66,14,0.4949480806577391
60,84,219010943,45.50133235599011,9.24251667711212,66,1,-0.24659863916614785
61,1732,4118006456,45.481725899999994,9.244819699999999,66,7,0.6184816905378578
62,2743,4318008045,45.49021049669342,9.181120550599758,67,6,0.4632673392226776
63,1718,4118006435,45.507302100000004,9.198536099999998,68,0,0.12332017688540131
64,3058,5018009683,45.50840543702111,9.267090529454435,68,12,0.6948083054723457
65,3078,5018009814,45.50627175232889,9.250338922507352,69,9,0.22780605150356478
66,1713,4118006426,45.506697100000004,9.193981599999999,69,0,0.1473786278463731
67,2620,4318007875,45.501117917570745,9.19574613310715,70,5,0.5554834179873526
68,406,219011863,45.47001405226036,9.217069625093472,70,11,0.5363619349745251
69,984,1419015259,45.4774924,9.2257963,70,2,0.6248012140796486
70,669,1219014468,45.4677625763143,9.206213672831266,70,11,0.17631031322333293
71,384,219011839,45.488789000000004,9.2277881,71,1,0.00026860065718590343
72,2517,4318007751,45.50853704504826,9.201162685023064,72,0,0.11989240670520414
73,3087,5018009823,45.50469858284086,9.250569444476696,72,9,0.19968708083028497
74,2912,5018009425,45.47149556368411,9.223726516428997,73,2,0.2910372828642076
75,1329,3718005844,45.49237374147543,9.193340285393788,74,5,0.2942244717036927
76,89,219010948,45.51648034791861,9.240782617424204,74,9,0.44736303988292087
77,1072,3718005448,45.514053577346345,9.221028446014769,74,10,0.5938279241829352
78,972,1419015247,45.47692523334725,9.226552505454038,74,2,0.6418542648797901
79,2566,4318007811,45.50396131121085,9.196611021495755,75,5,0.28937136160518717
80,1304,3718005808,45.48629549173468,9.21600329785474,75,13,0.6893156215461338
81,3013,5018009629,45.47850647798045,9.234383531629305,75,2,0.1822273984067797
82,706,1219014507,45.480690388174075,9.19005408474186,77,6,0.439150078657377
83,119,219011032,45.477126500000004,9.2299462,78,2,0.5971872342495166
84,1309,3718005814,45.5213012,9.2149913,78,3,0.23323702903734728
85,722,1219014523,45.4746723665493,9.204273705829564,78,14,0.4582200403223868
86,1370,3718005939,45.487577068073776,9.195298512978981,80,4,0.1692203480757271
87,697,1219014496,45.4766008700109,9.200000740688893,80,14,0.06113248497717492
88,1826,4118006585,45.49437196165002,9.185898338442373,82,6,0.1329253278439227
89,2133,4118007108,45.492256978709364,9.206449139355756,82,8,0.03149641260297477
90,2413,4318007619,45.47099712210991,9.22336868060802,83,2,0.2298053100480832
91,10,119010140,45.47772020000001,9.223731599999999,83,2,0.5204698244063088
92,1051,3618004320,45.479641104444134,9.23010443011367,83,2,0.5286879785754225
93,468,519011930,45.47613804093129,9.20830847957268,83,14,0.5300694765892675
94,2738,4318008036,45.4947366,9.197401800000002,85,5,0.5043074609311458
95,90,219010949,45.51279492101225,9.24227388019699,85,9,0.6082223015710871
96,293,219011744,45.481177284552345,9.216446776018074,86,13,0.43683025820178917
97,2416,4318007623,45.502114072466725,9.196106703300304,86,5,0.48107685103608255
98,1081,3718005462,45.47006105100582,9.21590177435985,87,11,0.541901661518189
99,1437,3718006036,45.47716997004862,9.210133678230024,88,14,0.500027649710132
100,300,219011751,45.478003684596274,9.219539392408707,88,2,0.06091306808007481
101,3106,5018009846,45.50713370045906,9.26785947868484,88,12,0.6686837168652434
102,3096,5018009833,45.51156774852292,9.260995136764222,88,12,0.6765525036738064
103,63,119010918,45.51351327733925,9.240048450735912,88,9,0.49411295791613086
104,734,1219014536,45.480322548690175,9.192250087224352,88,6,0.23580661982546935
105,650,1219014449,45.475892706816225,9.201623822065244,89,14,0.25324074634559246
106,2179,4118007161,45.50171413109328,9.202277197769037,89,5,0.35089601310547547
107,924,1419015136,45.47752138358828,9.226579604248627,89,2,0.6376784368995274
108,2878,5018009377,45.5122607,9.2245694,90,10,0.7088044739190271
109,2467,4318007685,45.4708613131306,9.223510416642057,91,2,0.2354661409104723
110,443,219011903,45.4772156151131,9.220813789549313,91,2,0.2732350674911461
111,37,119010884,45.5135534,9.234003999999999,92,9,-0.2028564383579032
112,2236,4318007403,45.4858654504386,9.238531509520953,92,7,0.5247782665518842
113,3131,5018010113,45.473834725080756,9.223673989548617,92,2,0.416405973701671
114,820,1219014625,45.468419201874006,9.205982053783599,93,11,0.13336133880884948
115,2421,4318007630,45.480014774969426,9.208500522636996,93,14,0.5476626827659911
